cliente;citta
C000027;Catania
C000098;Napoli
C000462;Palermo
C000322;Venezia
C000118;Venezia
C000587;Genova
C000865;Roma
C000043;Palermo
C000195;Venezia
C000921;Roma
C000706;Verona
C000296;Modena
C000935;Padova
C000804;Palermo
C000919;Parma
C000199;Venezia
C000373;Torino
C000434;Firenze
C000854;Firenze
C000239;Modena
C000385;Catania
C000933;Parma
C000255;Milano
C000367;Bologna
C000031;Padova
C000358;Bari
C000957;Genova
C000411;Padova
C000165;Roma
C000913;Napoli
C000313;Trieste
C000531;Bologna
C000066;Modena
C000147;Firenze
C000924;Venezia
C000879;Venezia
C000415;Milano
C000452;Brescia
C000728;Trieste
C000428;Brescia
C000831;Catania
C000155;Verona
C000617;Firenze
C000444;Parma
C000869;Milano
C000696;Bologna
C000608;Trieste
C000783;Padova
C000707;Brescia
C000677;Genova
C000985;Torino
C000955;Verona
C000192;Verona
C000282;Bari
C000749;Reggio Calabria
C000073;Genova
C000533;Modena
C000929;Reggio Calabria
C000630;Brescia
C000026;Roma
C000117;Torino
C000232;Padova
C000121;Bari
C000740;Torino
C000997;Trieste
C000644;Bari
C000211;Brescia
C000362;Verona
C000886;Trieste
C000646;Trieste
C000208;Milano
C000984;Roma
C000344;Genova
C000262;Reggio Calabria
C000803;Verona
C000967;Bologna
C000517;Catania
C000315;Torino
C000836;Parma
C000863;Palermo
C000039;Padova
C000963;Padova
C000391;Bari
C000861;Perugia
C000654;Parma
C000996;Modena
C000845;Reggio Calabria
C000203;Catania
C000982;Bologna
C000417;Catania
C000229;Parma
C000988;Reggio Calabria
C000441;Brescia
C000705;Firenze
C000442;Milano
C000363;Brescia
C000266;Trieste
C000293;Reggio Calabria
C000714;Torino
C000852;Brescia
C000787;Roma
C000833;Trieste
C000228;Palermo
C000774;Modena
C000473;Parma
C000270;Bari
C000174;Bologna
C000014;Firenze
C000810;Venezia
C000934;Taranto
C000538;Venezia
C000407;Taranto
C000851;Genova
C000172;Palermo
C000535;Bari
C000796;Roma
C000286;Bari
C000606;Parma
C000551;Roma
C000075;Firenze
C000016;Catania
C000759;Trieste
C000245;Bologna
C000867;Padova
C000478;Parma
C000968;Perugia
C000628;Bari
C000676;Catania
C000708;Catania
C000702;Trieste
C000592;Venezia
C000316;Parma
C000254;Torino
C000735;Brescia
C000910;Milano
C000518;Milano
C000637;Verona
C000124;Torino
C000737;Bari
C000941;Taranto
C000723;Genova
C000766;Verona
C000773;Taranto
C000337;Reggio Calabria
C000029;Perugia
C000672;Milano
C000133;Trieste
C000083;Perugia
C000826;Perugia
C000631;Firenze
C000364;Catania
C000457;Taranto
C000466;Genova
C000501;Modena
C000324;Perugia
C000356;Venezia
C000801;Catania
C000822;Brescia
C000114;Palermo
C000647;Parma
C000130;Bari
C000383;Verona
C000342;Trieste
C000191;Modena
C000752;Roma
C000348;Milano
C000860;Torino
C000110;Verona
C000815;Genova
C000568;Verona
C000530;Perugia
C000911;Firenze
C000514;Parma
C000179;Verona
C000461;Roma
C000080;Firenze
C000104;Napoli
C000475;Torino
C000003;Verona
C000596;Torino
C000557;Reggio Calabria
C000309;Perugia
C000487;Firenze
C000496;Roma
C000539;Roma
C000864;Brescia
C000745;Palermo
C000035;Padova
C000171;Catania
C000137;Modena
C000931;Firenze
C000960;Palermo
C000785;Brescia
C000812;Bari
C000158;Taranto
C000688;Reggio Calabria
C000859;Parma
C000178;Napoli
C000550;Trieste
C000922;Torino
C000340;Perugia
C000129;Venezia
C000507;Napoli
C000241;Reggio Calabria
C000463;Palermo
C000781;Modena
C000163;Roma
C000357;Torino
C000005;Brescia
C000799;Bologna
C000548;Modena
C000883;Palermo
C000716;Milano
C000212;Reggio Calabria
C000046;Palermo
C000051;Taranto
C000238;Parma
C000048;Perugia
C000056;Perugia
C000187;Perugia
C000571;Padova
C000395;Napoli
C000944;Reggio Calabria
C000651;Perugia
C000853;Venezia
C000319;Roma
C000406;Verona
C000002;Torino
C000393;Torino
C000019;Roma
C000849;Palermo
C000062;Brescia
C000333;Trieste
C000588;Roma
C000021;Napoli
C000736;Taranto
C000711;Verona
C000173;Parma
C000181;Napoli
C000770;Napoli
C000087;Verona
C000595;Venezia
C000260;Catania
C000837;Milano
C000789;Trieste
C000453;Reggio Calabria
C000527;Milano
C000897;Taranto
C000645;Bologna
C000730;Firenze
C000093;Reggio Calabria
C000726;Parma
C000405;Verona
C000510;Milano
C000488;Bari
C000460;Bologna
C000993;Roma
C000477;Reggio Calabria
C000454;Bari
C000167;Padova
C000964;Catania
C000775;Roma
C000424;Padova
C000792;Bari
C000532;Taranto
C000221;Taranto
C000177;Bologna
C000384;Palermo
C000593;Palermo
C000890;Catania
C000903;Perugia
C000139;Genova
C000663;Reggio Calabria
C000952;Reggio Calabria
C000138;Taranto
C000467;Verona
C000275;Perugia
C000295;Venezia
C000312;Modena
C000273;Padova
C000503;Venezia
C000055;Milano
C000642;Palermo
C000234;Brescia
C000242;Bologna
C000843;Trieste
C000603;Torino
C000483;Napoli
C000235;Catania
C000271;Perugia
C000956;Bari
C000272;Firenze
C000265;Perugia
C000498;Verona
C000750;Bologna
C000024;Genova
C000184;Perugia
C000525;Reggio Calabria
C000169;Catania
C000045;Modena
C000437;Catania
C000214;Torino
C000451;Milano
C000995;Modena
C000156;Firenze
C000469;Parma
C000495;Parma
C000980;Milano
C000219;Trieste
C000412;Genova
C000953;Brescia
C000508;Milano
C000892;Parma
C000090;Venezia
C000125;Brescia
C000446;Padova
C000025;Bari
C000331;Bologna
C000591;Firenze
C000107;Taranto
C000946;Taranto
C000365;Genova
C000215;Perugia
C000149;Napoli
C000256;Trieste
C000010;Brescia
C000619;Palermo
C000917;Roma
C000674;Modena
C000808;Palermo
C000353;Venezia
C000920;Catania
C000521;Firenze
C000679;Torino
C000756;Parma
C000151;Padova
C000742;Torino
C000632;Torino
C000544;Torino
C000821;Torino
C000884;Palermo
C000767;Verona
C000940;Parma
C000086;Roma
C000257;Napoli
C000382;Bologna
C000604;Milano
C000369;Genova
C000030;Catania
C000233;Bari
C000830;Padova
C000380;Bologna
C000777;Torino
C000747;Bari
C000284;Taranto
C000220;Perugia
C000504;Padova
C000361;Trieste
C000691;Roma
C000914;Perugia
C000876;Reggio Calabria
C000757;Torino
C000375;Parma
C000482;Bari
C000302;Venezia
C000006;Roma
C000912;Torino
C000067;Verona
C000748;Parma
C000427;Perugia
C000601;Perugia
C000007;Trieste
C000697;Venezia
C000987;Brescia
C000689;Verona
C000868;Padova
C000392;Catania
C000625;Bologna
C000311;Genova
C000771;Roma
C000092;Venezia
C000661;Reggio Calabria
C000274;Napoli
C000490;Milano
C000973;Verona
C000786;Taranto
C000874;Roma
C000916;Torino
C000072;Brescia
C000523;Roma
C000435;Bari
C000077;Venezia
C000540;Reggio Calabria
C000278;Venezia
C000150;Milano
C000263;Bari
C000923;Modena
C000881;Reggio Calabria
C000053;Bologna
C000512;Trieste
C000570;Catania
C000668;Torino
C000871;Venezia
C000797;Genova
C000816;Perugia
C000041;Perugia
C000231;Perugia
C000835;Firenze
C000694;Genova
C000629;Roma
C000269;Bologna
C000285;Venezia
C000097;Taranto
C000264;Brescia
C000022;Parma
C000541;Bologna
C000733;Verona
C000515;Firenze
C000081;Firenze
C000798;Taranto
C000297;Trieste
C000580;Roma
C000586;Napoli
C000168;Brescia
C000578;Perugia
C000108;Trieste
C000247;Padova
C000250;Palermo
C000443;Trieste
C000314;Firenze
C000612;Torino
C000906;Reggio Calabria
C000671;Venezia
C000493;Modena
C000276;Modena
C000157;Napoli
C000298;Bari
C000611;Roma
C000983;Trieste
C000134;Brescia
C000560;Padova
C000802;Torino
C000429;Bari
C000805;Genova
C000900;Bari
C000101;Trieste
C000413;Milano
C000991;Bologna
C000084;Perugia
C000334;Catania
C000386;Catania
C000152;Perugia
C000397;Palermo
C000170;Trieste
C000289;Napoli
C000536;Bologna
C000378;Torino
C000388;Parma
C000516;Padova
C000188;Brescia
C000279;Perugia
C000433;Venezia
C000800;Torino
C000209;Venezia
C000841;Bari
C000161;Palermo
C000819;Genova
C000673;Palermo
C000341;Firenze
C000127;Bologna
C000112;Trieste
C000666;Palermo
C000499;Milano
C000751;Trieste
C000741;Padova
C000599;Modena
C000237;Milano
C000678;Bologna
C000887;Padova
C000450;Bari
C000522;Genova
C000899;Genova
C000537;Padova
C000131;Catania
C000447;Modena
C000634;Bologna
C000590;Genova
C000652;Parma
C000402;Padova
C000480;Torino
C000970;Venezia
C000042;Napoli
C000288;Perugia
C000176;Roma
C000746;Modena
C000818;Torino
C000981;Bologna
C000690;Perugia
C000470;Venezia
C000545;Bologna
C000744;Reggio Calabria
C000870;Trieste
C000965;Roma
C000839;Brescia
C000664;Genova
C000687;Roma
C000306;Bari
C000556;Bari
C000400;Napoli
C000566;Trieste
C000020;Milano
C000300;Taranto
C000401;Bari
C000145;Torino
C000261;Brescia
C000945;Padova
C000227;Roma
C000640;Brescia
C000699;Napoli
C000567;Brescia
C000224;Palermo
C000057;Brescia
C000589;Torino
C000905;Brescia
C000720;Torino
C000546;Bologna
C000656;Padova
C000116;Bologna
C000217;Firenze
C000336;Firenze
C000667;Roma
C000925;Taranto
C000505;Firenze
C000520;Milano
C000794;Genova
C000459;Roma
C000621;Napoli
C000327;Perugia
C000115;Venezia
C000105;Firenze
C000343;Milano
C000366;Taranto
C000267;Genova
C000769;Bari
C000856;Catania
C000658;Verona
C000807;Bologna
C000485;Genova
C000972;Bologna
C000305;Brescia
C000710;Catania
C000054;Venezia
C000037;Catania
C000249;Torino
C000423;Firenze
C000555;Bari
C000743;Bari
C000626;Napoli
C000106;Perugia
C000368;Reggio Calabria
C000582;Napoli
C000089;Verona
C000623;Perugia
C000700;Modena
C000011;Roma
C001000;Modena
C000387;Taranto
C000643;Firenze
C000456;Torino
C000448;Padova
C000079;Parma
C000938;Reggio Calabria
C000143;Genova
C000558;Perugia
C000140;Reggio Calabria
C000627;Trieste
C000907;Genova
C000951;Parma
C000277;Perugia
C000190;Parma
C000379;Napoli
C000698;Verona
C000760;Reggio Calabria
C000113;Napoli
C000063;Trieste
C000543;Bologna
C000399;Perugia
C000500;Bari
C000564;Verona
C000202;Bologna
C000182;Parma
C000416;Brescia
C000563;Milano
C000692;Padova
C000004;Bari
C000240;Perugia
C000776;Bari
C000878;Taranto
C000218;Napoli
C000317;Torino
C000398;Bologna
C000848;Reggio Calabria
C000947;Catania
C000064;Roma
C000509;Taranto
C000183;Firenze
C000704;Genova
C000349;Verona
C000119;Verona
C000078;Padova
C000609;Verona
C000597;Modena
C000915;Padova
C000136;Modena
C000513;Firenze
C000339;Palermo
C000976;Taranto
C000251;Brescia
C000299;Parma
C000842;Firenze
C000325;Parma
C000986;Bari
C000828;Perugia
C000135;Milano
C000684;Modena
C000346;Palermo
C000575;Venezia
C000620;Milano
C000939;Roma
C000904;Trieste
C000895;Taranto
C000686;Firenze
C000099;Torino
C000701;Perugia
C000095;Brescia
C000734;Reggio Calabria
C000576;Milano
C000060;Bari
C000414;Reggio Calabria
C000682;Torino
C000731;Firenze
C000584;Bari
C000377;Verona
C000439;Trieste
C000359;Bari
C000585;Torino
C000371;Palermo
C000898;Perugia
C000755;Modena
C000573;Bologna
C000827;Firenze
C000926;Modena
C000526;Padova
C000376;Napoli
C000738;Modena
C000873;Palermo
C000877;Parma
C000954;Parma
C000788;Milano
C000074;Palermo
C000519;Catania
C000639;Reggio Calabria
C000013;Bari
C000474;Genova
C000709;Genova
C000032;Reggio Calabria
C000126;Verona
C000283;Parma
C000036;Reggio Calabria
C000160;Trieste
C000569;Reggio Calabria
C000146;Padova
C000197;Palermo
C000511;Taranto
C000977;Napoli
C000872;Napoli
C000354;Milano
C000071;Perugia
C000574;Verona
C000076;Torino
C000404;Perugia
C000902;Parma
C000345;Roma
C000292;Milano
C000330;Palermo
C000335;Verona
C000204;Catania
C000468;Trieste
C000196;Venezia
C000310;Parma
C000432;Brescia
C000577;Verona
C000559;Parma
C000695;Bari
C000164;Brescia
C000472;Perugia
C000390;Catania
C000600;Venezia
C000008;Bari
C000403;Bologna
C000213;Bari
C000381;Venezia
C000594;Bari
C000128;Reggio Calabria
C000669;Napoli
C000764;Modena
C000186;Venezia
C000111;Firenze
C000782;Firenze
C000791;Firenze
C000352;Perugia
C000445;Venezia
C000858;Bari
C000950;Torino
C000685;Bologna
C000974;Bologna
C000958;Napoli
C000534;Napoli
C000304;Padova
C000763;Modena
C000880;Venezia
C000754;Milano
C000328;Verona
C000969;Padova
C000680;Perugia
C000893;Bologna
C000205;Taranto
C000724;Palermo
C000790;Milano
C000088;Modena
C000989;Taranto
C000889;Venezia
C000918;Perugia
C000329;Torino
C000823;Firenze
C000670;Parma
C000109;Modena
C000554;Firenze
C000959;Catania
C000455;Venezia
C000222;Torino
C000068;Bologna
C000050;Brescia
C000166;Parma
C000618;Verona
C000210;Venezia
C000524;Bari
C000082;Firenze
C000061;Torino
C000244;Roma
C000100;Genova
C000389;Trieste
C000141;Venezia
C000248;Modena
C000932;Venezia
C000975;Firenze
C000901;Trieste
C000326;Catania
C000814;Padova
C000739;Venezia
C000966;Brescia
C000793;Milano
C000598;Torino
C000410;Trieste
C000303;Firenze
C000486;Reggio Calabria
C000850;Trieste
C000193;Torino
C000200;Trieste
C000717;Palermo
C000778;Bologna
C000832;Padova
C000948;Napoli
C000308;Venezia
C000784;Modena
C000765;Bari
C000636;Catania
C000875;Venezia
C000015;Reggio Calabria
C000484;Taranto
C000772;Verona
C000657;Napoli
C000722;Napoli
C000994;Trieste
C000281;Brescia
C000491;Torino
C000258;Firenze
C000891;Reggio Calabria
C000542;Taranto
C000729;Taranto
C000552;Palermo
C000123;Bologna
C000044;Torino
C000655;Firenze
C000857;Venezia
C000153;Verona
C000605;Reggio Calabria
C000562;Parma
C000207;Roma
C000332;Perugia
C000321;Roma
C000422;Perugia
C000180;Bari
C000230;Torino
C000479;Catania
C000855;Reggio Calabria
C000703;Modena
C000290;Trieste
C000998;Milano
C000425;Trieste
C000223;Torino
C000252;Genova
C000635;Genova
C000458;Modena
C000294;Bologna
C000421;Firenze
C000216;Bologna
C000280;Venezia
C000616;Firenze
C000226;Firenze
C000549;Venezia
C000888;Venezia
C000660;Parma
C000096;Perugia
C000990;Firenze
C000492;Torino
C000350;Milano
C000961;Firenze
C000506;Bari
C000528;Milano
C000565;Milano
C000102;Taranto
C000012;Bari
C000185;Napoli
C000650;Milano
C000070;Modena
C000132;Milano
C000930;Firenze
C000572;Torino
C000058;Genova
C000065;Bologna
C000927;Trieste
C000438;Bologna
C000834;Taranto
C000052;Parma
C000464;Napoli
C000246;Bologna
C000547;Modena
C000430;Perugia
C000971;Taranto
C000862;Torino
C000937;Napoli
C000494;Parma
C000942;Modena
C000806;Venezia
C000431;Modena
C000476;Catania
C000033;Taranto
C000936;Torino
C000370;Catania
C000553;Venezia
C000142;Palermo
C000683;Verona
C000581;Trieste
C000675;Bologna
C000396;Padova
C000999;Milano
C000753;Bari
C000049;Roma
C000561;Catania
C000614;Bologna
C000018;Palermo
C000009;Milano
C000120;Trieste
C000194;Bologna
C000236;Milano
C000624;Torino
C000047;Brescia
C000301;Palermo
C000583;Trieste
C000103;Verona
C000351;Trieste
C000206;Modena
C000780;Palermo
C000882;Venezia
C000885;Parma
C000613;Roma
C000602;Bologna
C000681;Brescia
C000307;Brescia
C000844;Palermo
C000420;Venezia
C000201;Parma
C000928;Perugia
C000162;Firenze
C000610;Torino
C000715;Perugia
C000175;Genova
C000144;Catania
C000824;Brescia
C000779;Reggio Calabria
C000355;Firenze
C000023;Venezia
C000372;Perugia
C000943;Firenze
C000615;Torino
C000436;Parma
C000693;Venezia
C000909;Torino
C000034;Venezia
C000017;Trieste
C000718;Venezia
C000727;Venezia
C000962;Torino
C000641;Venezia
C000159;Genova
C000287;Verona
C000449;Palermo
C000318;Taranto
C000347;Trieste
C000338;Padova
C000198;Venezia
C000908;Brescia
C000732;Parma
C000529;Torino
C000633;Napoli
C000649;Bologna
C000866;Milano
C000758;Roma
C000795;Parma
C000408;Firenze
C000409;Parma
C000038;Modena
C000829;Perugia
C000979;Firenze
C000949;Taranto
C000817;Genova
C000978;Bologna
C000059;Verona
C000992;Modena
C000489;Verona
C000825;Padova
C000225;Torino
C000712;Milano
C000809;Torino
C000721;Torino
C000426;Napoli
C000122;Reggio Calabria
C000607;Reggio Calabria
C000838;Verona
C000713;Bologna
C000360;Catania
C000811;Bologna
C000847;Trieste
C000259;Roma
C000069;Napoli
C000094;Milano
C000659;Taranto
C000189;Palermo
C000665;Bari
C000622;Verona
C000502;Taranto
C000268;Catania
C000497;Venezia
C000374;Reggio Calabria
C000719;Parma
C000768;Torino
C000762;Catania
C000148;Parma
C000820;Taranto
C000320;Torino
C000840;Bari
C000648;Torino
C000394;Padova
C000154;Napoli
C000638;Verona
C000813;Trieste
C000419;Taranto
C000028;Milano
C000896;Firenze
C000001;Brescia
C000085;Verona
C000471;Taranto
C000253;Torino
C000662;Firenze
C000846;Modena
C000040;Bologna
C000579;Brescia
C000894;Brescia
C000481;Torino
C000243;Modena
C000323;Parma
C000761;Parma
C000291;Torino
C000091;Trieste
C000653;Venezia
C000465;Venezia
C000440;Taranto
C000418;Perugia
C000725;Genova
